pickup_location_id,hour,day_of_week,is_weekend,ride_count
79,14,6,1,121
79,15,0,0,81
79,15,1,0,73
79,15,2,0,87
79,15,3,0,85
79,15,4,0,102
79,15,5,1,169
79,15,6,1,154
79,16,0,0,82
79,16,1,0,68
79,16,2,0,65
79,16,3,0,85
79,16,4,0,112
79,16,5,1,209
79,16,6,1,135
79,17,0,0,79
79,17,1,0,87
79,17,2,0,103
79,17,3,0,94
79,17,4,0,131
79,17,5,1,232
79,17,6,1,140
79,18,0,0,94
79,18,1,0,124
79,18,2,0,146
79,18,3,0,124
79,18,4,0,179
79,18,5,1,262
79,18,6,1,179
79,19,0,0,99
79,19,1,0,116
79,19,2,0,156
79,19,3,0,175
79,19,4,0,236
79,19,5,1,298
79,19,6,1,156
79,20,0,0,129
79,20,1,0,158
79,20,2,0,184
79,20,3,0,232
79,20,4,0,270
79,20,5,1,315
79,20,6,1,174
79,21,0,0,134
79,21,1,0,172
79,21,2,0,256
79,21,3,0,297
79,21,4,0,336
79,21,5,1,371
79,21,6,1,156
79,22,0,0,142
79,22,1,0,176
79,22,2,0,250
79,22,3,0,357
79,22,4,0,420
79,22,5,1,479
79,22,6,1,134
79,23,0,0,73
79,23,1,0,98
79,23,2,0,142
79,23,3,0,276
79,23,4,0,536
79,23,5,1,570
79,23,6,1,121
80,0,1,0,2
80,0,2,0,1
80,0,3,0,2
80,0,5,1,3
80,0,6,1,2
80,1,0,0,2
80,1,1,0,2
80,1,2,0,1
80,1,3,0,2
80,1,5,1,3
80,1,6,1,2
80,2,0,0,2
80,2,5,1,2
80,2,6,1,4
80,3,0,0,2
80,3,5,1,3
80,3,6,1,2
80,4,4,0,1
80,4,5,1,3
80,5,0,0,1
80,5,1,0,1
80,5,6,1,3
80,6,3,0,1
80,6,4,0,1
80,7,0,0,1
80,8,2,0,3
80,8,4,0,3
80,8,5,1,1
80,8,6,1,1
80,9,0,0,2
80,9,2,0,1
80,10,0,0,1
80,10,1,0,1
80,10,6,1,1
80,12,0,0,1
80,12,2,0,2
80,12,3,0,2
80,12,5,1,1
80,13,4,0,1
80,13,5,1,1
80,14,4,0,1
80,15,0,0,1
80,15,1,0,3
80,15,5,1,1
80,15,6,1,1
80,16,2,0,1
80,16,3,0,1
80,16,6,1,1
80,17,3,0,1
80,17,4,0,1
80,18,6,1,1
80,20,6,1,1
